Keys,English,Français
ini_continue,Continue,Continuer
ini_load,Load,Charger
ini_ng,New game,Nouvelle partie
ini_creds,Credits,Crédits
creds_dev,Developer,Développeur
creds_comp,Composer,Compositeur
creds_translators,Translators,Traducteurs
config_sm,Screen mode,Mode d'affichage
config_resolution,Resolution,Résolution
config_pp,Pixel perfect,Au pixel près
config_hud,Screen info.,Infos écran
config_icons,Device icons,Icônes appareil
config_lang,Language,Langage
config_match_lang,Match language,Langage auto
config_gen,General,Général
config_sfx,Sound effects,Effets sonores
config_mus,Music,Music
config_amb,Ambience,Ambiance
config_dia,Dialogues,Dialogues
op_window,Window,Fenêtré
op_fullscreen,Full screen,Plein écran
op_bordeless,Borderless window,Fenêtré sans bordures
op_yes,Yes,Oui
op_no,No,Non
op_ok,OK,OK
op_kb,Keyboard and mouse,Clavier et souris
op_gpa,Gamepad type A,Manette type A
op_gpb,Gamepad type B,Manette type B
op_gpc,Gamepad type C,Manette type C
op_dynamic,Dynamic,Dynamique
op_im,Initial menu,Menu principal
op_dsktp,Desktop,Bureau
warn_quit,Quit game?,Quitter le jeu ?
warn_bind_conflict,"There are conflicting assignments. To apply the changes, correct the conflicts.",Certaines attributions sont incompatibles. Corrigez les conflits pour appliquer les changements.
term_config,Settings,Paramètres
term_quit,Quit game,Quitter le jeu
term_turn,TURN,TOUR
term_attack,Attack,Attaquer
term_skill,Skill,Capacités
term_cast,Cast,Catalyser
term_use,Use,Utiliser
term_flee,Flee,Fuir
term_return,Return,Retour
term_skip_turn,Skip turn,Passer le tour
term_power,Power,Pouvoir
term_con,Condition,Condition
term_neg,Negation,Négation
term_bnr,Bonus/Req.,Bonus/Req.
term_res,Res.,Res.
term_poi,Poise,Posture
term_lv,Lv.,Nv.
term_xp,XP,XP
term_equips,Equipments,Équipements
term_weas,Weapons,Armes
term_atl,Arm./Tal./Run.,Arm./Tal./Run.
term_charms,Charms,Amulettes
term_status,Status,Statut
term_attr,Attributes,Attributs
term_nia,New item acquired,Nouvel objet obtenu
term_empty,Empty,Vide
scl_0,E,E
scl_1,D,D
scl_2,C,C
scl_3,B,B
scl_4,A,A
scl_5,S,S
ms_sanc,Sanctuary Activated,Sanctuaire Activé
ms_death,You died,Vous êtes mort
warn_combat,!Iminent Combat!,! Combat Imminent !
msg_wait_atk,{0} attacked with {1},{0} a attaqué avec {1}
msg_wait_skill,{0} used skill {1},{0} a utilisé la capacité {1}
msg_wait_cast,{0} casted {1},{0} a catalysé {1}
msg_wait_use,{0} used {1},{0} a utilisé {1}
msg_wait_skip,{0} skiped the turn,{0} a passé le tour
menu_tea,Team,Équipe
menu_inv,Inventory,Inventaire
menu_cod,Codex,Codex
menu_map,Map,Carte
help_000,Select,Sélectionner
help_001,Back,Retour
help_002,Change info.,Infos changement
help_003,Reset current option,Réinitialiser l'option actuelle
help_004,Reset options,Réinitialiser les options
help_005,Remove assignment,Enlever l'attribution
help_006,Remove item,Enlever l'objet
uti_name_000,Small Shards,Petits Éclats
uti_name_001,Shard Splinter,Écharde d'Éclat
uti_name_002,Shard Fragment,Fragment d'Éclat
uti_name_003,Shard Ore,Minerai d'Éclat
uti_name_004,Moon Traces,Traces de Lune
uti_name_005,Moon Fragment,Fragment de Lune
